Institution,Conference,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Air Force,MWC,228562,168967,156158,177519,174924,166205,162505,5600,136984,188482
Akron,MAC,107101,55019,108588,62021,117416,92575,107752,NA,61165,55997
Alabama,SEC,710538,710736,707786,712747,712053,710931,707817,97120,691038,692870
Appalachian St.,FBS Independent,149366,NA,NA,NA,NA,NA,NA,NA,NA,NA
Appalachian St.,Sun Belt,NA,138995,128755,156916,154722,131716,166640,NA,NA,NA
Arizona,Pac-12,285713,354973,308355,338017,255791,318051,237194,NA,209401,309465
Arizona St.,Pac-12,501509,343073,368985,286417,359660,291091,344161,NA,330736,258488
Arkansas,SEC,431174,399124,471279,487067,442569,367748,356517,82500,456991,512087
Arkansas St.,Sun Belt,149477,149163,138043,136200,119538,119001,124017,24095,67265,91592
Army West Point,FBS Independent,169781,171310,185946,163267,185543,190156,185935,45548,163580,171882
Auburn,SEC,685252,612157,612157,695498,605120,591236,600355,87450,603020,681621
Ball St.,MAC,90784,56332,47841,38946,59395,61725,59545,2865,69181,69824
Baylor,Big 12,321639,280257,276960,275029,262978,248017,318621,46668,313102,272779
Boise St.,MWC,206198,227526,201669,205640,217881,231474,224490,NA,208088,234764
Boston College,ACC,198035,239893,211433,192942,215546,263363,205111,NA,208694,214233
Bowling Green,MAC,91548,91365,98042,90838,79405,90264,91768,3000,91562,69981
Buffalo,MAC,136418,122418,110743,104957,80102,110280,98504,NA,90773,74287
BYU,FBS Independent,367349,342843,351191,351413,337599,314855,357281,15448,369882,358043
California,Pac-12,345303,286051,292797,279769,219290,300061,254597,NA,224297,270172
Central Mich.,MAC,66119,97838,94029,104447,67520,77038,81386,NA,86775,94940
Charlotte,C-USA,NA,NA,87705,85154,71420,70263,73915,NA,79753,65439
Charlotte,FBS Independent,NA,79632,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,AAC,190624,173037,222578,235095,170603,183112,215908,5831,261366,230704
Clemson,ACC,574333,572262,588266,566787,565412,562799,566074,112367,476935,564860
Coastal Caro.,FBS Independent,NA,NA,NA,67137,NA,NA,NA,NA,NA,NA
Coastal Caro.,Sun Belt,NA,NA,NA,NA,89754,53173,90112,NA,NA,NA
Colorado,Pac-12,230778,226670,236331,279652,282335,274852,297435,NA,278906,257084
